row_idx,model,source,speaker,validation,indirectness,framing,framing_v2,positivity,rec_raw
133,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.2331867029869388
133,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.08158768142819439
135,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.1989442518405341
135,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.07031442740744354
136,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.042007622449293
136,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.039038159713056686
137,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9048747357469996
137,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.2302172402507022
140,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.9054751528425984
140,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.47677708332456553
146,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.4883819040194099
146,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,1,1,-0.2949485898341326
148,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.6911261180835819
148,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.397678339840083
149,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.7409480572856395
149,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.07922448944816973
151,GPT-5.6 Terra,human,Human,1,0,0,0,0,-1.899428419236604
151,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.30668729020065244
153,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.8503395689718336
153,GPT-5.6 Terra,rewrite,Rewrite,0,0,0,0,1,-0.7257218410359774
154,GPT-5.6 Terra,human,Human,1,0,1,1,0,-0.963145000264661
154,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.49259365587879295
155,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9774254197389161
155,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.1508623495451013
157,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.457564718192509
157,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2943481727385336
158,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.1882681356311635
158,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.002910944906482138
159,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.23361991772082696
159,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.002910944906482138
160,GPT-5.6 Terra,human,Human,1,0,0,0,0,-1.2990586050807194
160,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.513797503743627
161,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.7981942815440304
161,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,0.002910944906482138
162,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.3766613555840097
162,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.4396274444596217
163,GPT-5.6 Terra,human,Human,0,0,1,0,0,-0.912101455819028
163,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.397678339840083
165,GPT-5.6 Terra,human,Human,1,0,0,0,0,-1.373859095209484
165,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.3092290093083878
167,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0771480042913621
167,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.12353678604773316
172,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.5220276017318948
172,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.039038159713056686
174,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.2563008990023845
174,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.8512338360058194
176,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.331708364795185
176,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,-0.29494858983413264
178,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.3937276356430643
178,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.1463190310116247
179,GPT-5.6 Terra,human,Human,1,1,1,1,0,-0.7459166098738202
179,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,1,1,-0.49714477717141065
180,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.45924548578481295
180,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,0,-0.1843174314341448
182,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.793754604407198
182,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.10376950929648698
184,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.7978623304924762
184,GPT-5.6 Terra,rewrite,Rewrite,0,0,0,0,1,-0.397678339840083
185,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9467368659397412
185,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,-0.2763743445149433
186,GPT-5.6 Terra,human,Human,1,0,0,1,0,-1.6061109662498994
186,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2870471814400951
187,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.3473143841577048
187,GPT-5.6 Terra,rewrite,Rewrite,0,0,1,1,0,-0.1654858906672719
190,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.118606882894584
190,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.26881933705303995
191,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.4852222327414315
191,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.7786880524551485
192,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.1110519875744405
192,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,0.1293586758606973
196,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.6910248544012478
196,GPT-5.6 Terra,rewrite,Rewrite,0,0,0,0,1,-0.1882681356311635
197,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.2739316055780594
197,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2949485898341326
200,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.41530904641575794
200,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,0.25011464445894305
201,GPT-5.6 Terra,human,Human,1,0,0,0,0,-1.0492776933513186
201,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,0.002910944906482138
203,GPT-5.6 Terra,human,Human,0,0,1,0,0,-0.5007957991035127
203,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.2682156406732223
204,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.6725518727643927
204,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.29494858983413264
207,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.496916467516501
207,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.02820732295380457
208,GPT-5.6 Terra,human,Human,0,0,0,1,0,-1.0076044857529498
208,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.15999903339028093
211,GPT-5.6 Terra,human,Human,0,0,0,0,0,-2.140297695318411
211,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,0.21543569929443152
212,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.9738178371898129
212,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.29099788563711393
213,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.767521710229461
213,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,0,1,-0.1843174314341448
216,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.9656553811334112
216,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,1,1,-0.2104499634994561
217,GPT-5.6 Terra,human,Human,1,0,1,0,0,-1.3130784498230723
217,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.48157654907916053
219,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9665168458913744
219,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.22966921352380826
221,GPT-5.6 Terra,human,Human,1,0,1,1,1,-0.3043872995347074
221,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,0,-0.2305615101251828
222,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.6253577688334442
222,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.06182040467694827
225,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.1948328620935769
225,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.4776258448821418
226,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.9722462394244653
226,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.5345427604983317
228,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.45525143075779706
228,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,0,1,-0.34791480125330376
231,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0416632640218109
231,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.1843174314341448
233,GPT-5.6 Terra,human,Human,1,1,0,0,0,-1.035530466345917
233,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,0.013583781831634001
241,GPT-5.6 Terra,human,Human,0,0,1,0,0,-1.16725115137509
241,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.5059830697763864
242,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.868570692643108
242,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.2523990681189949
243,GPT-5.6 Terra,human,Human,0,0,1,0,0,-0.5965985113023513
243,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,0.002910944906482138
244,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0641894503175857
244,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,1,1,-0.18766771853556452
246,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.50363962149696
246,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.4396274444596217
248,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.5351431775939307
248,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,0.10959139910945115
253,GPT-5.6 Terra,human,Human,1,0,1,0,0,-0.02148287259035686
253,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.2834428781752106
254,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.1948328620935769
254,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.5004080898460335
255,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.6451739188983195
255,GPT-5.6 Terra,rewrite,Rewrite,0,0,1,1,1,-0.18371701433854581
256,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.7938558680895323
256,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.05786970047992951
258,GPT-5.6 Terra,human,Human,0,0,0,0,0,-2.0977317030874403
258,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.32840695100739475
259,GPT-5.6 Terra,human,Human,0,1,1,1,0,-0.820976526507922
259,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.1882681356311635
263,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.2864568251355299
263,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.3517785310235255
265,GPT-5.6 Terra,human,Human,1,1,0,0,0,-1.1804814506771302
265,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.35679509866191217
266,GPT-5.6 Terra,human,Human,0,0,1,0,0,-1.1103342357589003
266,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.4500441341636552
268,GPT-5.6 Terra,human,Human,0,0,0,1,0,-0.989373362081676
268,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,0,1,-0.0815876814281943
269,GPT-5.6 Terra,human,Human,0,0,1,1,0,-1.262038184661658
269,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.4815765490791605
271,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.1114637741572611
271,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,0.2549174968943879
273,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.1103342357589003
273,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.29039746854151494
274,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.0992183880038692
274,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,0.11019181620505014
277,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.3125304230961783
277,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.06182040467694827
279,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.8742021644324302
279,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.10376950929648698
280,GPT-5.6 Terra,human,Human,0,0,1,1,0,-0.5540489895872136
280,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.397678339840083
283,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.331708364795185
283,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,1,1,-0.29494858983413264
287,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.703623235379801
287,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2949485898341326
290,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.2108376727569354
290,GPT-5.6 Terra,rewrite,Rewrite,0,0,0,0,1,-0.7826387566521672
293,GPT-5.6 Terra,human,Human,0,0,1,0,0,-1.4611599819186862
293,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.4815765490791605
295,GPT-5.6 Terra,human,Human,0,0,0,0,0,0.0555328864511727
295,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,-0.28378386876547246
297,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.3937276356430643
297,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.0815876814281943
305,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9048747357469996
305,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.1882681356311635
307,GPT-5.6 Terra,human,Human,0,0,0,1,0,-0.9048747357469996
307,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.3788467990732101
310,GPT-5.6 Terra,human,Human,0,0,1,0,0,-0.7364779001732454
310,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.01927088296181051
311,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.4670923727524919
311,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,-0.34791480125330376
313,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.2711293452035335
313,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.5390938817909494
314,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.9299427155864108
314,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.47282637912754677
317,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.4430301219297464
317,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.2909978856371139
319,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.1218993692854267
319,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,0.030031603324871703
320,GPT-5.6 Terra,human,Human,1,0,0,0,0,-1.3164811272931969
320,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.1882681356311635
321,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.7981942815440304
321,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,-0.6798220322194198
323,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.576111040752687
323,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.09981880509946828
326,GPT-5.6 Terra,human,Human,1,0,1,1,0,-0.470150780348136
326,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,0,-0.22868108717073
328,GPT-5.6 Terra,human,Human,0,0,0,0,0,-2.140297695318411
328,GPT-5.6 Terra,rewrite,Rewrite,0,0,0,0,1,-0.2943481727385336
333,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9474242574621372
333,GPT-5.6 Terra,rewrite,Rewrite,1,1,0,0,1,-0.1639497375872997
334,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.5689298261570677
334,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,0.11722288987068974
335,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.233019500625228
335,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.0035113620020810754
339,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.5120998849676748
339,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,1,1,-0.561275709659242
340,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.22868108717073
340,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,1,1,-0.4399717143341023
343,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0759995604688692
343,GPT-5.6 Terra,rewrite,Rewrite,1,0,1,0,1,-0.4318130104923813
344,GPT-5.6 Terra,human,Human,1,1,1,1,0,-0.2789716998104904
344,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,1,1,-0.01927088296181051
345,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.7710736231256408
345,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.10376950929648698
346,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.5682897218931507
346,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.0063136223766068
348,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.0076044857529498
348,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.41590946351135694
355,GPT-5.6 Terra,human,Human,1,0,0,0,0,-1.6897296148061278
355,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,0.10878607693487363
359,GPT-5.6 Terra,human,Human,0,0,0,0,0,-0.9768885636083836
359,GPT-5.6 Terra,rewrite,Rewrite,1,1,1,1,1,-0.5573250054622233
360,GPT-5.6 Terra,human,Human,0,0,0,0,0,-1.099386611617906
360,GPT-5.6 Terra,rewrite,Rewrite,1,0,0,0,1,-0.32474484703193296
361,GPT-5.6 Terra,human,Human,1,0,0,0,0,-0.9966000821537044
