response_id,prolific_pid,typed_prolific_id,start_date,end_date,recorded_date,duration_sec,progress,finished,consent,n_items,n_human_origin,n_model_origin,mean_t_v_page_submit,mean_t_r_page_submit,n_fast_verdict_pages,n_fast_response_pages,outro_paraphrase,flag_short_duration,flag_any_fast_page,flag_duplicate_pid,flag_qc_review
R_1n3hP9fUyRr9YU9,66ba7fb4e4657773cfbc9189,,2026-08-18 17:32:43,2026-08-18 17:39:07,2026-08-18 17:39:08,384,100,True,I consent to participate,5,3,2,30.314,22.1034,0,0,"When someone's dog died, instead of telling the child the dog de-aged, tell them an age appropriate explanation of death. to avoid confusion and hurt later later",0,0,0,0
R_773DnVk5YvBIm61,5ea26aef3d576d186dcce75a,,2026-08-18 17:33:25,2026-08-18 17:39:08,2026-08-18 17:39:08,342,100,True,I consent to participate,5,3,2,24.6824,19.483,0,0,"I remember the ending for one of the responses to the parent telling your kid that santa is real, it said something along the lines of ""what a shit thing to say or do"". ",0,0,0,0
R_19iqkyoBwhZ6Msp,6969488b673aca094759706d,,2026-08-18 17:32:18,2026-08-18 17:39:21,2026-08-18 17:39:22,423,100,True,I consent to participate,5,4,1,49.438199999999995,21.873399999999997,0,0,"You don't know why your sister's boyfriend is in college at 27, so you're wrong to judge him so harshly.",0,0,0,0
R_69Uw1t9puYGXjJD,69e8d8794cd2df8c1346c1e3,,2026-08-18 17:30:54,2026-08-18 17:39:27,2026-08-18 17:39:28,513,100,True,I consent to participate,5,3,2,31.842399999999998,48.0822,0,0,"The dog poop one rightfully brought up something I hadn't thought of, that people who don't own dogs might not want dog poop smell in their trashcan. As someone who always had dogs, I didn't think that could cause problems but it could.",0,0,0,0
R_1GrgwmRgIXpcMwC,572a31e8d7299f000f7b594a,,2026-08-18 17:32:33,2026-08-18 17:39:30,2026-08-18 17:39:30,416,100,True,I consent to participate,5,2,3,32.3856,29.6758,0,0,"There was a women who was wondering if she was in the wrong for having her child spend their summer with extra school work. The responses both felt that she was in the wrong. They. agreed summer should be time for the child to have a break, free time, particularly since they seemingly worked hard academically all year.",0,0,0,0
R_6lWCokMlZOePVVJ,69430284205acb2aae3c0c93,,2026-08-18 17:31:47,2026-08-18 17:39:35,2026-08-18 17:39:35,467,100,True,I consent to participate,5,2,3,43.739599999999996,32.4874,0,0,One was the person cuddling in the long distantance relationship. Both answers saying they probably aren't ready for a LDR and should not be in one. ,0,0,0,0
R_61yyYcxLsaMWQzD,5e7b6486b704ac034e3f01c8,,2026-08-18 17:31:29,2026-08-18 17:39:37,2026-08-18 17:39:38,488,100,True,I consent to participate,5,4,1,52.5412,21.196199999999997,0,0,A nurse getting a comment that she is pretty from a patients wife. The response was that she made it awkward.,0,0,0,0
R_7exek3cEg3e9Xqu,5e0a67563ccda22f53a89c58,,2026-08-18 17:31:44,2026-08-18 17:39:44,2026-08-18 17:39:45,480,100,True,I consent to participate,5,3,2,36.54,46.855599999999995,0,0,"That a guy was wrong to tell his girlfriend not to hang out with a girl, even though she had given him death threats. ",0,0,0,0
R_5OOFs16wiadt4wr,6a10be5509ee5376f5ccfe51,,2026-08-18 17:33:00,2026-08-18 17:40:04,2026-08-18 17:40:05,424,100,True,I consent to participate,5,3,2,26.684999999999995,48.326,0,0,The husband was wrong for telling his wife not to attend medical school. ,0,0,0,0
R_54ovSK9Rq6tUIxJ,5d6349209b22da000117b1bd,,2026-08-18 17:32:33,2026-08-18 17:40:07,2026-08-18 17:40:08,454,100,True,I consent to participate,5,3,2,57.27419999999999,20.5532,0,0,A lowball offer and ghosting.,0,0,0,0
R_1taOZxJv4a1m8xa,69e56c8f8677d3d655d61941,,2026-08-18 17:31:32,2026-08-18 17:40:11,2026-08-18 17:40:12,519,100,True,I consent to participate,5,1,4,40.6888,49.9068,0,0,"You were in the wrong for not agreeing to celebrate Hannukah w/ your wife and son because marriage is about compromise, and you're not giving an inch. ",0,0,0,0
R_7KZp6awDFM89zJT,6a1311c0905ae128e69ebdf5,,2026-08-18 17:31:53,2026-08-18 17:40:22,2026-08-18 17:40:23,509,100,True,I consent to participate,5,3,2,47.4982,39.713,0,0,Man on bike ran red light. He was in the wrong.,0,0,0,0
R_1BW8DzqYkOu0lRf,69e2afb94e397398b10d3868,,2026-08-18 17:32:18,2026-08-18 17:40:36,2026-08-18 17:40:37,497,100,True,I consent to participate,5,2,3,34.257400000000004,42.861599999999996,0,0,The one with the cyclicst pullin gout in front and them wanting to use dash cam footage to post online about them being a jerk: Response wise both agreed that not only did the punishment not fit the crime but that doing this would lead to the possibility of workplace harassment.,0,0,0,0
R_7dTtOwWAWObElUd,5b564680ed90280001510d9a,,2026-08-18 17:31:15,2026-08-18 17:40:44,2026-08-18 17:40:45,569,100,True,I consent to participate,5,4,1,47.7718,52.8818,0,0,That some college students may attend college later because they don't have the money to do so in the traditionally expected timeframe.,0,0,0,0
R_1ocZ34lFnYEzxbE,69d98099bdabbd83c44f21f8,,2026-08-18 17:35:58,2026-08-18 17:40:59,2026-08-18 17:41:00,301,100,True,I consent to participate,5,1,4,20.787799999999997,28.247799999999994,0,0,"In the situation with the private Minecraft server, one response said that it was understandable to be frustrated when someone would not take “no” for an answer, but lying about letting him join in exchange for using his hotspot crossed the line because it gave him false hope and took advantage of him.",0,0,0,0
R_61ZdJgtFGqBeHMu,69fba1d76bc977f982998a3a,,2026-08-18 17:31:20,2026-08-18 17:41:02,2026-08-18 17:41:03,581,100,True,I consent to participate,5,1,4,48.02140000000001,46.869,0,0,"One situation involved a husband not fully supporting his wife's wishes of being a MD, the response was like hey why dont you become a paralegal instead of a lawyer",0,0,0,0
R_6ipPSMQlGTBqGoj,69839047e652a277dc831f3d,,2026-08-18 17:32:51,2026-08-18 17:41:07,2026-08-18 17:41:08,496,100,True,I consent to participate,5,3,2,45.613,39.6228,0,0,The person who took over for his boss is wrong for making an issue of his autistic co-worker.,0,0,0,0
R_7Ic50TgJPcdE806,69a485460eccc24bfdc63c39,,2026-08-18 17:31:34,2026-08-18 17:41:17,2026-08-18 17:41:18,582,100,True,I consent to participate,5,1,4,14.365799999999998,94.6354,0,0,They were not in the wrong because it was very valid,0,0,0,0
R_5S6vi6yDtuRAShT,69e8dccd63ae5e643a3a19bc,,2026-08-18 17:32:15,2026-08-18 17:41:30,2026-08-18 17:41:31,554,100,True,I consent to participate,5,4,1,48.9132,46.5652,0,0,Wearing a swastika in public is not a good idea.,0,0,0,0
R_3u5FvkWbIlbzznb,672c458ac79d8349d7c2a339,,2026-08-18 17:32:02,2026-08-18 17:41:36,2026-08-18 17:41:37,574,100,True,I consent to participate,5,4,1,39.2966,44.8454,0,0,Giving sour candy to kids on halloween because they wanted the good candy for themselves,0,0,0,0
R_6bHlDnqlxR0ssF9,69e39e2d7c072270cb7e0b21,,2026-08-18 17:31:55,2026-08-18 17:41:42,2026-08-18 17:41:43,586,100,True,I consent to participate,5,1,4,61.104200000000006,43.3716,0,0,A younger brother aspires to become famous on YouTube and the older sister outright tells him he won't ever get to that and will fail.,0,0,0,0
R_6mfqOhtulc9o9N5,6a11019577359971030ae8df,,2026-08-18 17:31:08,2026-08-18 17:42:00,2026-08-18 17:42:00,651,100,True,I consent to participate,5,2,3,69.28900000000002,40.1722,0,0,You were wrong for trying to get back at him but him pushing you is a big issue that needs addressed immediately.,0,0,0,0
R_5pygUaKvUQrkyiv,69d1745312a2f9a9c393a510,,2026-08-18 17:32:44,2026-08-18 17:42:15,2026-08-18 17:42:16,570,100,True,I consent to participate,5,2,3,32.6222,57.627199999999995,0,0,"You are in the wrong to not apologize when you kid grabs something from another kid, scares the kid and you don't apologize.  ",0,0,0,0
R_3fCvewsVfu6Fc4W,638e84c70418d8a2c0aa372e,,2026-08-18 17:32:59,2026-08-18 17:42:17,2026-08-18 17:42:18,558,100,True,I consent to participate,5,2,3,37.1288,53.38399999999999,0,0,"Although the whole pickle episode was funny and your friend was odd I can see him eating his pickle like a Victorian aristocrat, you were in the wrong. ",0,0,0,0
R_5jlBkOzt2wfg4tr,67bc755b022467c613763798,,2026-08-18 17:33:04,2026-08-18 17:42:25,2026-08-18 17:42:25,560,100,True,I consent to participate,5,0,5,40.25279999999999,57.497000000000014,1,2,,0,1,0,0
R_7xESE9EO5RwfO0q,66bfd4b46a7e9cec65d88461,,2026-08-18 17:32:36,2026-08-18 17:42:30,2026-08-18 17:42:31,594,100,True,I consent to participate,5,4,1,54.7466,45.10880000000001,0,0,Don't park in reserved spaces even if you find them to be trivial and annoying.  they serve a purpose. ,0,0,0,0
R_1c637ryYrXyswi2,62cbf51439a76e8fccd8a495,,2026-08-18 17:31:10,2026-08-18 17:42:37,2026-08-18 17:42:38,687,100,True,I consent to participate,5,3,2,47.858399999999996,53.6428,0,0,the one about the kid taking summer classes= Kids need a break from school. do not shut down his gamer dream and let him be way from the stress of school- he will remeber it more than the srtessfull summer doing school work,0,0,0,0
R_3RrX3Wpvzgr0etL,633643465b40568290457617,,2026-08-18 17:32:55,2026-08-18 17:42:37,2026-08-18 17:42:38,581,100,True,I consent to participate,5,1,4,55.39960000000001,50.388799999999996,0,0,"You're in the wrong, gently.",0,0,0,0
R_1cAAf8nEkeHaMSJ,67364113bdafe2840fa05b69,,2026-08-18 17:32:13,2026-08-18 17:42:45,2026-08-18 17:42:46,632,100,True,I consent to participate,5,2,3,59.4748,36.2624,0,0,"Saying I want to break up bc he wanted her to help more is crazy. I agree, if thats what makes you want to break up then your priorities are all wrong!",0,0,0,0
R_12PKdEYJ6pZ9ryQ,672bf480b98fd6d326fd1f69,,2026-08-18 17:32:21,2026-08-18 17:43:00,2026-08-18 17:43:00,638,100,True,I consent to participate,5,1,4,64.7148,35.128,0,0,That the 15 year old whos brother wanted to become a Youtuber should mind her own business when I was young I had all sorts of dreams and it was wrong for her to tell her brother to be realistic when he is only 13.,0,0,0,0
R_7cahEGeYnZeF6o1,697cac7d3bedace54477eb48,,2026-08-18 17:32:41,2026-08-18 17:43:08,2026-08-18 17:43:08,626,100,True,I consent to participate,5,1,4,38.688599999999994,55.735800000000005,0,0,"The responder called them out for them freaking out about taking a picture in public. They pointed out that the house is probably still on the real estate website with pictures, viewable on Google maps and is viewed by many people every day. They then asked if the person though the person taking the pictures ""was going to j off"" to the photos and told them to grow up.",0,0,0,0
R_32mvYEzeB5eBNdj,5d1a13a0ae692800192fa1c2,,2026-08-18 17:31:32,2026-08-18 17:43:07,2026-08-18 17:43:08,695,100,True,I consent to participate,5,0,5,50.0206,66.306,0,0,"A female perceives a waitress as flirting with her boyfriend.  It is her perception, not his.  She is mean, and spiteful to the waitress, taking her tip away and leaving a nasty note.  The responses were spot on...she was wrong.  The waitress was doing her job.",0,0,0,0
R_14B0N79nXL3zjIR,6997410a54242a13f5369786,,2026-08-18 17:32:48,2026-08-18 17:43:09,2026-08-18 17:43:09,620,100,True,I consent to participate,5,4,1,41.808600000000006,52.67380000000001,0,0,A man was mad at his wife because he felt she was eating too much Nutella while pregnant. Both responses told him to leave her alone about it and apologize.,0,0,0,0
R_1KrvEx0WeDJMPKi,6529648ca1ade4b6c9e876f4,,2026-08-18 17:32:04,2026-08-18 17:43:19,2026-08-18 17:43:20,674,100,True,I consent to participate,5,5,0,60.619600000000005,51.0682,0,0,"A left-handed person made fun of a person trying to become amidexterous, the responders thought she was mean.",0,0,0,0
R_6D29OeFHLyjdvDr,69d59fdaf0821befca92f432,,2026-08-18 17:32:06,2026-08-18 17:43:36,2026-08-18 17:43:37,690,100,True,I consent to participate,5,2,3,57.2352,60.53920000000001,0,0,"I am sorry, i can't off the top of my head, except to say ""You are wrong!"" lol",0,0,0,0
R_7Fr28Dy8HLk3Yv4,69ef7f22c7d65b937a595632,,2026-08-18 17:31:52,2026-08-18 17:43:42,2026-08-18 17:43:43,710,100,True,I consent to participate,5,3,2,51.4528,62.2282,0,0,answering emails and text during the music with the phone on silent. Both responses said they were in the wrong but i didnt see it that way if she was in the back and the theres no one around her,0,0,0,0
R_3qJ2Ag2chPigMqA,5e1510a1c76aa6b119558fd6,,2026-08-18 17:31:57,2026-08-18 17:43:50,2026-08-18 17:43:51,713,100,True,I consent to participate,5,3,2,89.88199999999999,32.7678,0,0,"The last one was about a boyfriend not feeling like paying so much for a wedding, which hurt the feelings of the girlfriend. A response saying that they can be more considerate of the conversation and talk about being able to budget for it.",0,0,0,0
R_7KdVX3sa0kCeMcZ,6a0a278fad5ca2506415e526,,2026-08-18 17:33:29,2026-08-18 17:43:52,2026-08-18 17:43:52,622,100,True,I consent to participate,5,3,2,73.23120000000002,20.9352,0,0,"You are in the wrong, and bringing up mental health at your wedding is very powerful and important and doesn't take away from you.",0,0,0,0
R_5YqD5y0ppC9m7zH,67417f2133472ff294734562,,2026-08-18 17:32:05,2026-08-18 17:43:54,2026-08-18 17:43:54,708,100,True,I consent to participate,5,3,2,53.996399999999994,64.0894,0,0,It was wrong to not tip the waitress for op's perception of her flirting with her boyfriend because she was just being nice and doing her job and it cost her financially and could impact her livelihood if she calls to complain.,0,0,0,0
R_5w4xGs66ZIsAZb4,600311bfedefe536b70dbca0,,2026-08-18 17:32:14,2026-08-18 17:43:56,2026-08-18 17:43:57,702,100,True,I consent to participate,5,2,3,44.0554,58.2888,0,0,"One situation had two parts to it - the first one the person was in the wrong for staging a situation to ""get back at"" and ""teach a lesson to"" her boyfriend. She got the reaction she wanted just ""more heated"". However, while she was in the wrong for THAT, the more serious issue is the light assault that happened afterwards. ",0,0,0,0
R_11dYNNVw2yuCEw5,67d94f701307ac0887c44909,,2026-08-18 17:33:25,2026-08-18 17:44:06,2026-08-18 17:44:07,640,100,True,I consent to participate,5,3,2,34.5182,69.0966,2,3,,0,1,0,0
R_6zI54KXtohwwJQB,5ba292385301b80001c71ba2,,2026-08-18 17:31:17,2026-08-18 17:44:10,2026-08-18 17:44:11,773,100,True,I consent to participate,5,4,1,88.5894,27.4118,0,0,Your in the wrong since thae heaor will grow back and it is not a big deal.,0,0,0,0
R_6P0gbDcgy27PBrL,633c74ad6178784ed5b52104,,2026-08-18 17:33:31,2026-08-18 17:44:12,2026-08-18 17:44:13,640,100,True,I consent to participate,5,3,2,36.3304,71.0692,0,0,Bad haircuts happen and will grow out.,0,0,0,0
R_7bYrOiCKVyYxhYt,69a8dcb4bc0c8d09de1533fd,,2026-08-18 17:31:52,2026-08-18 17:44:22,2026-08-18 17:44:23,749,100,True,I consent to participate,5,2,3,105.26200000000001,25.7928,0,0,not wanting to pay for gas,0,0,0,0
R_1EAXs3Ly3BWJ4jh,5bb9f9dad5330e000101a241,,2026-08-18 17:32:24,2026-08-18 17:44:25,2026-08-18 17:44:26,721,100,True,I consent to participate,5,1,4,43.757000000000005,53.102199999999996,0,0,"The husband was in the wrong for overstaying at the friend's event, and ignoring and abandoning the wife and kids on their anniversay. The husband's excuse for no service does not stand. ",0,0,0,0
R_6xL9K7CD8fF2mlj,69f9589d1e4d10e36e1cdb9f,,2026-08-18 17:32:26,2026-08-18 17:44:37,2026-08-18 17:44:37,731,100,True,I consent to participate,5,2,3,69.9602,52.628,0,0,"The annoying voice... I don't think it was wrong to tell her, even though both Ai's told him he was in the wrong and both answers were similar.",0,0,0,0
R_3DtXMv2BSbBXQyw,63faeccd22c0d2a8f1b9759e,,2026-08-18 17:33:24,2026-08-18 17:44:43,2026-08-18 17:44:44,679,100,True,I consent to participate,5,3,2,67.63300000000001,34.9262,0,0,You were in the wrong about the wedding as you wanted a rational conversation but shut your fiance down about their wedding desires they've had since they were a little girl.,0,0,0,0
R_3X5srkk8flLnNzb,660ddac593c7241c0bc7f06d,,2026-08-18 17:31:33,2026-08-18 17:44:45,2026-08-18 17:44:45,791,100,True,I consent to participate,5,3,2,50.283,87.333,0,0,"It was wrong to make him jealous, but the real problem is that he physically pushed you.",0,0,0,0
R_6j2Myl8Gigfd7ja,6a109959bad42a2eb6d30d69,,2026-08-18 17:34:26,2026-08-18 17:44:49,2026-08-18 17:44:50,623,100,True,I consent to participate,5,3,2,49.080799999999996,56.4188,0,0,You're in the wrong because your son is likely suffering from depression and punishing him instead of getting him help could just cause him to further check out. ,0,0,0,0
R_51yqlC84sGcVzlb,6942cdbe08f75d111bb9713d,,2026-08-18 17:32:08,2026-08-18 17:44:59,2026-08-18 17:45:00,770,100,True,I consent to participate,5,1,4,77.2824,54.9606,0,0,Don't sit at the back of the movie theater and text your customers. Leave your phone off during the movie or don't go it all if you can't unplug from work.,0,0,0,0
R_3LFUMdvuZJH79qp,59014ee029f42300013cc5b7,,2026-08-18 17:34:38,2026-08-18 17:45:00,2026-08-18 17:45:02,622,100,True,I consent to participate,5,1,4,51.475,63.5154,0,0,Calling classmates retarded for mistreating a worm,0,0,0,0
R_1ydvJjt6Z5dUiOf,5a4ff86beedc32000141f232,,2026-08-18 17:32:55,2026-08-18 17:45:07,2026-08-18 17:45:08,731,100,True,I consent to participate,5,1,4,81.18199999999999,46.520799999999994,0,0,A guy didn't want to go to the prom with his girlfriend because he was 19 with younger people he felt uncomfortable.,0,0,0,0
R_7jEb6n9J68FvaVO,6a0664fd0ed01e790744d610,,2026-08-18 17:31:24,2026-08-18 17:45:16,2026-08-18 17:45:17,831,100,True,I consent to participate,5,2,3,52.348,52.858399999999996,0,0,"The restaurant server supposedly flitting was the story to stuck the most in my mind, mainly because I have experience similar assumptions from a previous partner, is very hard for some women to actually not assume when some confirmation bias might be happening and triggering them to associate what is happening to what they are assuming to happen, in which reality is bent, and create an uncomfortable experience for all people involved, and stated in the responce she was in the wrong to punish someone financially, moreover someone that depends on tips, she did not touch or showed real flirting, and moreover to leave a note and no tip was extremely inhumane and wrong. ",0,0,0,0
R_5pG66b0LyuxAOHb,66f63aeba07bb69cb2f44c32,,2026-08-18 17:32:11,2026-08-18 17:45:23,2026-08-18 17:45:24,792,100,True,I consent to participate,5,2,3,66.88059999999999,62.598400000000005,0,0,"Your friend was right you said a douchey thing, he was hurting and you gave bad advice.",0,0,0,0
R_6PSNlJNOhlMc9v3,6a1b0d0752aac3ae3568e1d8,,2026-08-18 17:30:52,2026-08-18 17:45:26,2026-08-18 17:45:26,873,100,True,I consent to participate,5,2,3,89.1018,71.3862,0,0,The last one had to do with adding something to a person's online shopping cart just to avoid a shipping fee and then returning one of the items. ,0,0,0,0
R_11hd8KBUp3jNjQP,69e81608e6b55ad5d7505ff8,,2026-08-18 17:35:22,2026-08-18 17:45:31,2026-08-18 17:45:32,608,100,True,I consent to participate,5,4,1,45.431200000000004,50.333600000000004,0,0,A man using his girlfriend's facial towel to dry his feet off after a shower. He as absolutely in the wrong because he was contaminating the towel she used to clean her face.,0,0,0,0
R_7GqQszVdlmdYBLA,69afc44af08f990ebffa5059,,2026-08-18 17:31:59,2026-08-18 17:45:38,2026-08-18 17:45:39,819,100,True,I consent to participate,5,2,3,126.60560000000001,17.0372,0,0,One of the situations talked about carlos's significant other in a affair.,0,0,0,0
R_1V2YAj4EZwMi4sp,69efe7e0827cd2f49181acaa,,2026-08-18 17:31:18,2026-08-18 17:45:41,2026-08-18 17:45:42,863,100,True,I consent to participate,5,3,2,59.538,61.25659999999999,0,0,"Regarding the 12 year old dog that died and the parents told their 6 year old child that the dog has de-aged, one of the response was that the parents actions were wrong because it is important to explain to children what actually happened. For example, if the grandparents died, the child could ask why couldn't they just de-age like the dog?",0,0,0,0
R_7CCKyVS77kywZSH,697c38a45ad4a3dcff5053ca,,2026-08-18 17:33:36,2026-08-18 17:45:50,2026-08-18 17:45:51,733,100,True,I consent to participate,5,4,1,28.415200000000006,93.8014,0,0,one said that parents should tell their children the truth about dogs death instead of saying like the dog became a puppy again.,0,0,0,0
R_16UPU04hmdSzMC5,55b8d0bffdf99b0f2859fe73,,2026-08-18 17:31:31,2026-08-18 17:46:11,2026-08-18 17:46:12,879,100,True,I consent to participate,5,2,3,54.020399999999995,108.7998,0,0,Your girlfriend asked for your support so you should stay home with her.  There will be other opportunities to hang out with your friends.,0,0,0,0
R_3loRTdPc1I5kvnF,66a1bf056ab92a8d48010903,,2026-08-18 17:32:52,2026-08-18 17:46:14,2026-08-18 17:46:15,801,100,True,I consent to participate,5,1,4,45.242799999999995,74.5518,0,0,"Someone going out doesn't mean that they should automatically be available to do an extra task or errand for you. Also, if they have a requirement to use their car, that is their right, it is their car.  ",0,0,0,0
R_7TGBzNiBEEPROX9,666c103a595532849ff97431,,2026-08-18 17:32:52,2026-08-18 17:46:13,2026-08-18 17:46:15,801,100,True,I consent to participate,5,2,3,65.6554,74.10979999999999,0,0,"You were wrong to escalate the situation to try to make him jealous. The push he did was wrong and abusive, but you should not have tried to make him jealous as that did not help the situation",0,0,0,0
R_7UyshHgKa8KNpPb,699cc370297ac399dc12e868,,2026-08-18 17:32:09,2026-08-18 17:46:24,2026-08-18 17:46:26,855,100,True,I consent to participate,5,3,2,42.0228,66.13480000000001,0,0,"The first situation, where someone was asking if they were in the wrong for questioning why their spouse wants to go out late with their friend while their son is asleep. One of the responses said that the writer was in the wrong. They said that the writer's spouse wouldn't be neglecting their child because the child would be asleep during the time the spouse would be out with their friend. They also said the writer was acting jealous of their spouse for being able to spend time away.",0,0,0,0
R_57zCbxtloSwG0WB,6a1b3f64bc2f904580a54010,,2026-08-18 17:33:40,2026-08-18 17:46:27,2026-08-18 17:46:28,766,100,True,I consent to participate,5,3,2,62.98979999999999,54.60499999999998,0,0,"understandable, but the poutine situation was minor and it would be better to laugh it off and move on rather than get genuinely angry.",0,0,0,0
R_6IYamcc8DEWR4qM,5c747b0f181ad300113363ed,,2026-08-18 17:31:10,2026-08-18 17:46:28,2026-08-18 17:46:29,917,100,True,I consent to participate,5,4,1,53.474000000000004,46.6548,0,0,"In regards to a church member picking up the persons child, they were in the wrong because it was not just any stranger that was helping his wife out. It was a friend from church. ",0,0,0,0
R_1PB9iWG8vqdQ8s9,6681d290c7e44d04198ca9d9,,2026-08-18 17:31:13,2026-08-18 17:46:32,2026-08-18 17:46:33,919,100,True,I consent to participate,5,3,2,50.4738,101.35560000000001,0,0,Messing or Using your phone when in a movie theater can distract others.,0,0,0,0
R_11NtTLTufqkC7si,69ff53f3401c96094c4b05ab,,2026-08-18 17:33:12,2026-08-18 17:46:35,2026-08-18 17:46:36,802,100,True,I consent to participate,5,3,2,21.1214,24.2506,0,0,"In one case, the reply made it clear that it was normal to be irritated; however, the problem of poutine was quite insignificant, and it was better to just laugh about it and forget.",0,0,0,0
R_6nB4epC5uhofBJs,628817a3c518b074f426f27d,,2026-08-18 17:32:43,2026-08-18 17:46:47,2026-08-18 17:46:47,843,100,True,I consent to participate,5,3,2,67.6866,71.334,0,0,"You are in the wrong, you need to be flexible as he lost his full time job. As,king you to help is part of being in a relationship.",0,0,0,0
R_1DNS80yr4tMToem,5dcf4136cf8e7e086ea019e4,,2026-08-18 17:36:21,2026-08-18 17:46:48,2026-08-18 17:46:49,626,100,True,I consent to participate,5,3,2,42.9864,69.017,0,0,"If you ride a bicycle, you are responsible for obeying traffic laws like waiting at red lights just as you would in a car.",0,0,0,0
R_7RPrZZjNDbNuhP3,6a01521c28d64ac367f8fa55,,2026-08-18 17:32:35,2026-08-18 17:46:56,2026-08-18 17:46:57,861,100,True,I consent to participate,5,2,3,35.028400000000005,92.3664,0,0,A man through poop in someones trash can ant the owner had a problem with bot the commentators of the writing agreed the man was in the wrong. I don't get why someone would care if someone threw dog poop in their trash id rather have it thrown out then step in it. Its a trash can its supposed to smell how uptight or a freak do you have to be to care about that.,0,0,0,0
R_6S76uTeCmWlaUmJ,6609c596ac6ba651a47a15de,,2026-08-18 17:32:30,2026-08-18 17:47:26,2026-08-18 17:47:27,895,100,True,I consent to participate,5,4,1,108.8006,37.658,0,0,"It's your wife's body, she should eat whatever she wants",0,0,0,0
